1;1;1;-;-;-;916264250;-

1;-;1;-;61;-;-;226765650
1;2;2;-;-;-;262751441;-

1;-;2;-;62;-;-;208939617
1;2;3;-;-;-;381686682;-

1;-;3;-;63;-;-;162310400
1;2;4;-;-;-;284788316;-

1;-;4;-;64;-;-;178817352
1;3;5;-;-;-;348480321;-

1;-;5;-;65;-;-;175388585
1;-;5;-;66;-;-;243032031
1;-;5;-;67;-;-;232836437
1;3;6;-;-;-;305062229;-

1;-;6;-;68;-;-;204644960
1;3;7;-;-;-;208255751;-

1;-;7;-;69;-;-;155738803
2;4;8;-;-;-;3292711010;-

2;-;8;-;70;-;-;242827234
1;1;1;-;-;-;916264250;-
1;-;1;-;61;-;-;226765650
1;2;2;-;-;-;262751441;-
1;-;2;-;62;-;-;208939617
1;2;3;-;-;-;381686682;-
1;-;3;-;63;-;-;162310400
1;2;4;-;-;-;284788316;-
1;-;4;-;64;-;-;178817352
1;3;5;-;-;-;348480321;-
1;-;5;-;65;-;-;175388585
1;-;5;-;66;-;-;243032031
1;-;5;-;67;-;-;232836437
1;3;6;-;-;-;305062229;-
1;-;6;-;68;-;-;204644960
1;3;7;-;-;-;208255751;-
1;-;7;-;69;-;-;155738803
2;4;8;-;-;-;3292711010;-
2;-;8;-;70;-;-;242827234
